team_id,team_name,name,games_played,position_rank,average_points,total_points,total_TD
9,Falcons,Russell Gage,15,39,10.39,155.86,4
21,Ravens,Marquise Brown,15,37,10.79,161.9,6
31,Raiders,Willie Snead,13,77,7.25,94.2,3
21,Ravens,Miles Boykin,15,105,3.89,58.3,3
17,Bills,Stefon Diggs,15,3,20.93,314,8
17,Bills,Cole Beasley,15,21,13.83,207.5,5
31,Raiders,John Brown,8,92,9.95,79.6,2
17,Bills,Gabriel Davis,15,60,7.88,118.2,6
10,Panthers,Robby Anderson,15,15,14.47,217.1,3
10,Panthers,DJ Moore,14,23,14.03,196.4,4
4,WFT,Curtis Samuel,14,26,13.79,193,5
5,Bears,Allen Robinson,15,7,17.15,257.2,6
5,Bears,Darnell Mooney,15,50,8.79,131.8,4
5,Bears,Cordarrelle Patterson,15,100,4.51,67.6,1
5,Bears,Anthony Miller,15,68,7.03,105.4,2
22,Bengals,Tee Higgins,15,24,12.97,194.6,6
13,Cardinals,AJ Green,15,67,7.42,111.3,2
22,Bengals,Tyler Boyd,14,28,13.6,190.44,4
23,Browns,Jarvis Landry,14,34,12.25,171.56,4
23,Browns,Odell Beckham,7,85,13.08,209.3,7
23,Browns,Rashard Higgins,12,64,9.45,113.4,4
23,Browns,Donovan Peoples-Jones,11,108,5.12,56.3,2
1,Cowboys,Amari Cooper,15,14,15.11,226.7,5
1,Cowboys,CeeDee Lamb,15,20,13.87,208.1,6
1,Cowboys,Michael Gallup,15,36,10.96,164.4,5
28,Broncos,Tim Patrick,14,40,11.04,154.6,6
28,Broncos,Jerry Jeudy,15,54,8.71,130.6,7
2,Giants,Kenny Golliday,5,101,13.51,216.3,2
27,Jaguars,Marvin Jones ,15,29,12.65,189.8,7
6,Lions,Danny Amendola,13,69,8.06,104.8,0
15,49ers,Mohamed Sanu,9,124,4.49,40.4,1
7,Packers,Devante Adams,13,1,26.29,341.8,17
7,Packers,Allen Lazard,9,78,10.46,94.1,3
7,Packers,Marquez Valdes-Scantling,15,59,8.01,120.2,5
25,Texans,Brandin Cooks,14,27,13.74,192.4,4
25,Texans,Keke Coutee,7,97,10.29,72,3
18,Dolphins,Will Fuller,11,30,17.17,188.9,8
25,Texans,Randall Cobb,10,73,10.01,100.1,3
25,Texans,Chad Hansen,4,122,10.75,43,1
26,Colts,TY Hilton,14,42,10.75,150.5,4
26,Colts,Michael Pittman,12,79,7.83,93.9,1
26,Colts,Zach Pascal,15,53,8.72,130.8,5
27,Jaguars,DJ Chark,13,41,11.82,153.6,5
27,Jaguars,Laviska Shenault,13,49,10.19,132.5,3
20,Jets,Keelan Cole,15,43,10.01,150.1,5
25,Texans,Chris Conley,14,89,5.81,81.4,2
30,Chiefs,Tyreek Hill,15,2,21.93,328.9,17
21,Ravens,Sammy Watkins,10,83,8.74,87.4,2
30,Chiefs,Mecole Hardman,15,57,8.37,125.6,4
30,Chiefs,Demarcus Robinson,15,76,6.39,95.8,3
32,Chargers,Mike Williams,14,51,9.35,130.9,4
32,Chargers,Keenan Allen,14,9,17.51,245.1,8
32,Chargers,Jalen Guyton,15,75,6.47,97.1,3
32,Chargers,Tyron Johnson,11,96,6.73,74,3
14,Rams,Robert Woods,15,12,15.83,237.5,8
14,Rams,Cooper Kupp,15,19,13.91,208.7,3
28,Titans,Josh Reynolds,15,61,7.83,117.4,2
19,Patriots,Nelson Agholor,15,33,11.93,178.9,8
31,Raiders,Hunter Renfrow,15,56,8.41,126.2,2
31,Raiders,Henry Ruggs,12,93,6.61,79.3,2
18,Dolphins,Devnate Parker,13,44,11.36,147.7,4
18,Dolphins,Lynn Bowden,9,82,4.51,40.6,0
18,Dolphins,Jakeem Grant,14,84,6.24,87.3,1
18,Dolphins,Preston Williams,8,95,9.35,74.8,4
8,Vikings,Justin Jefferson,15,8,16.79,251.9,7
8,Vikings,Adam Thielen,14,10,17.45,244.3,14
8,Vikings,Chad Beebe,13,129,2.9,37.7,1
19,Patriots,Jakobi Meyers,13,58,9.56,124.26,1
5,Bears,Damiere Byrd,15,66,7.52,112.8,1
19,Patrios,Nkeal Harry,13,98,5.4,70.2,2
11,Saints,Michael Thomas,7,88,11.99,83.9,0
17,Bills,Emmanual Sanders,13,47,11.04,143.5,4
11,Saints,Trequan Smith,14,70,7.36,103.1,4
2,Giants,Sterling Shepard,11,55,11.72,128.9,2
2,Giants,Darius Slayton,15,48,9.12,136.8,3
2,Giants,Golden Tate,12,86,7.21,86.52,2
20,Jets,Jamison Crowder,11,35,14.99,164.92,7
6,Lions,Breshad Perriman,11,82,7.97,87.7,3
20,Jets,Denzel Mims,8,106,7.28,58.2,0
20,Jets,Braxton Berrios,15,80,6.05,90.7,3
3,Eagles,Jalen Reagor,10,87,8.47,84.7,1
3,Eagles,Greg Ward,15,51,8.73,130.9,6
14,Rams,DeSean Jackson,5,121,8.96,44.8,1
3,Eagles,Travis Fulgham,12,64,9.45,113.4,4
3,Eagles,Alshon Jeffrey,7,150,3.36,23.5,1
24,Steelers,Dionte Johnson,14,18,14.95,209.3,7
24,Steelers,Juju Smith-Schuster,15,17,14.37,215.6,8
24,Steelers,Chase Claypool,15,25,12.92,193.8,10
24,Steelers,James Washington,15,74,6.61,99.2,5
15,49ers,Brandon Aiyuk,12,31,15.38,184.5,7
19,Patriots,Kendrick Bourne,14,63,8.36,117.1,2
15,49ers,Deebo Samuel,7,90,11.53,80.7,1
15,49ers,Richie James,10,111,5.48,54.8,1
16,Seahawks,DK Metcalf,15,6,17.75,266.2,10
16,Seahawks,Tyler Lockett,15,13,15.49,232.4,8
10,Panthers,David Moore,15,62,7.82,117.3,6
12,Bucs,Mike Evans,15,11,16.07,241,13
12,Bucs,Chris Godwin,11,38,14.61,160.7,5
12,Bucs,Antonio Brown,7,91,11.47,80.3,2
12,Bucs,Scotty Miller,15,72,6.69,100.3,3
28,Titans,AJ Brown,13,16,16.65,216.4,10
20,Jets,Corey Davis,13,32,14.04,182.5,5
4,WFT,Terry McLauren,14,22,14.77,206.8,3
4,WFT,Cam Sims,15,94,5.13,76.9,1
4,WFT,Steven Sims,11,112,4.9,53.9,1
18,Dolphins,Jaylen Waddle,0,0,11.24,179.9,5
21,Ravens,Rashod Bateman,0,0,8.64,138.3,5
2,Giants,Kadarius Toney,0,0,8.01,128.3,3
20,Jets,Elijah Moore,0,0,9.85,157.7,3
25,Texans,Nico Collins,0,0,7.48,119.7,3
3,Eagles,Devonta Smith,0,0,12.35,197.6,5
22,Bengals,Jamarr Chase,0,0,13.66,218.6,6
10,Panthers,Dan Arnold,15,23,5.95,89.2,4
9,Falcons,Hayden Hurst,15,15,9.09,136.3,5
21,Ravens,Mark Andrews,13,6,12.57,163.4,7
21,Ravens,Nick Boyle,9,55,4.14,37.3,2
17,Bils,Dawson Knox,11,38,5.63,61.9,3
20,Jets,Tyler Kroft,10,49,4.19,41.9,3
10,Panthers,Ian Thomas,15,51,2.64,39.6,1
5,Bears,Cole Kmet,15,45,3.53,52.9,2
5,Bears,Jimmy Graham,15,11,9.41,141.1,8
22,Bengals,Drew Sample,15,31,5.03,75.4,1
23,Browns,Austin Hooper,12,21,8.32,99.8,3
23,Browns,David Njoku,12,47,4.08,49,2
23,Browns,Harrison Bryant,15,39,4.12,61.8,3
1,Cowboys,Dalton Schultz,15,16,8.83,132.5,4
28,Broncos,Noah Fant,14,12,10.04,140.5,3
6,Lions,TJ Hockenson,15,3,11.32,169.8,6
7,Packers,Robert Tonyan,15,4,11.12,166.8,10
25,Texans,Jordan Akins,12,26,6.82,81.8,1
6,Lions,Darren Fells,15,30,5.08,76.2,4
26,Colts,Jack Doyle,13,40,4.57,59.4,3
26,Colts,Trey Burton,12,25,6.94,83.3,5
26,Colts,Mo Alie-Cox,14,28,5.74,80.4,2
27,Jaguars,Tyler Eifert,14,27,5.78,80.9,2
27,Jaguars,James Oshaughnessy,14,46,3.73,52.2,0
30,Chiefs,Travis Kelce,15,1,20.85,312.76,11
19,Patriots,Hunter Henry,14,8,10.38,145.3,4
14,Rams,Tyler Higbee,14,17,8.65,121.1,5
16,Seahawks,Gerald Everett,15,24,5.89,88.4,1
31,Raiders,Darren Waller,15,2,16.79,251.9,8
18,Dolphins,Mike Gesicki,14,7,10.69,149.6,6
8,Vikings,Irv Smith,12,22,7.79,93.5,5
2,Giants,Kyle Rudolph,12,36,5.45,65.4,1
32,Chargers,Jared Cook,14,19,8.08,113.1,6
2,Giants,Evan Engram,15,14,9.15,137.3,2
20,Jets,Chris Herndon,15,42,3.63,54.4,2
3,Eagles,Dallas Goedert,11,33,7.29,72.9,3
3,Eagles,Zach Ertz,10,18,10.58,116.4,1
3,Eagles,Richard Rodgers,14,34,5.04,70.5,2
24,Steelers,Eric Ebron,15,10,9.45,141.8,5
15,49ers,George Kittle,7,20,15.9,111.3,2
15,49ers,Jordan Reed,10,32,7.31,73.1,4
16,Seahawks,Greg Olsen,11,43,4.9,53.9,1
16,Seahawks,Jacob Hollister,15,37,4.29,64.3,3
16,Seahawks,Will Dissly,15,41,3.87,58.1,2
12,Bucs,Rob Gronkowski,15,9,9.63,144.4,7
12,Bucs,Cameron Brate,15,35,4.41,66.1,2
19,Patriots,Jonnu Smith,14,13,9.89,138.4,9
28,Titans,Anthony Firkser,15,29,5.33,79.9,1
4,WFT,Logan Thomas,15,5,10.93,163.92,5
9,Falcons,Kyle Pitts,0,0,12.07,193.1,6
