team_id,team_name,name,games_played,position_rank,average_points,total_points,receptions,rec_yards,rec_TD,avg_receptions,rec_yards_per_game,rush_yards,rush_yds_per_game,rush_TD,total_TD
23,Browns,Nick Chubb,11,13,17.35,190.9,16,150,0,1.5,150,959,87.2,11,11
6,Lions,Dandre Swift,12,20,14.48,173.8,43,341,2,3.6,28.4,467,38.9,7,9
31,Raiders,Josh Jacobs,14,9,15.03,210.4,33,238,0,2.4,17,976,69.7,10,10
25,Texans,David Johnson,11,25,14.41,158.5,30,278,2,2.7,25.3,607,55.2,5,7
26,Colts,Jonathan Taylor,14,7,15.31,214.4,35,298,1,2.5,21.3,916,65.4,9,10
4,WFT,Antonio Gibson,13,12,14.85,193.1,35,241,0,2.7,18.5,720,55.4,11,11
27,Jaguars,James Robinson,14,4,17.89,250.4,49,344,3,3.5,24.6,1070,76.4,7,10
16,Seahawks,Chris Carson,11,17,16.14,177.5,35,248,4,3.1,22.5,637,57.9,5,9
1,Cowboys,Ezekiel Elliot,14,10,14.9,208.6,49,319,2,3.5,22.8,937,66.9,5,7
9,Falcons,Mike Davis,15,11,13.77,206.5,59,373,2,3.9,24.9,642,42.8,6,8
12,Bucs,Leonard Fournette,12,35,10.61,127.3,34,219,0,2.8,18.3,354,29.5,6,6
10,Panthers,Christian Mccaffrey,3,51,20.86,333.7,85,677,3,5.3,42.3,1065,66.6,10,13
31,Raiders,Kenyan Drake,14,14,13.15,184.1,22,122,0,1.6,8.7,919,65.6,10,10
14,Rams,Cam Akers,12,50,7.6,91.2,7,71,1,0.6,5.9,591,49.3,2,3
14,Rams,Darrell Henderson,15,33,8.69,130.3,16,159,1,1.1,10.6,624,41.6,5,6
18,Dolphins,Myles Gaskin,9,29,16.28,146.5,37,331,2,4.1,36.8,564,62.7,2,4
21,Ravens,J.K. Dobbins,14,31,10.04,140.5,18,120,0,1.3,8.6,645,46.1,7,7
28,Broncos,Melvin Gordon,14,18,12.67,177.4,28,141,1,2,10.1,893,63.8,8,9
25,Texans,Phillip Lindsay,11,63,6,66,7,28,0,0.6,2.5,502,45.6,1,1
22,Bengals,Joe Mixon,6,47,16.6,99.6,21,138,1,3.5,23,428,71.3,3,4
12,Bucs,Giovani Bernard,15,26,10.49,157.4,47,355,3,3.1,23.7,409,27.3,3,6
15,49ers,Raheem Mostert,8,46,12.46,99.7,16,156,1,2,19.5,521,65.1,2,3
