player_id,team_id,team_name,name,games_played,position_rank,average_points,total_points,receptions,rec_yards,rec_TD,avg_receptions,rec_yards_per_game,targets,rush_yards,rush_yds_per_game,rush_TD,fumbles_lost,total_TD
54,30,Chiefs,Mecole Hardman,15,57,8.37,125.6,39,535,4,2.6,35.7,60,31,2.1,0,1,4
55,30,Chiefs,Demarcus Robinson,15,76,6.39,95.8,39,408,3,2.6,27.2,52,0,0,0,1,3
56,32,Chargers,Mike Williams,14,51,9.35,130.9,42,648,4,3,46.3,78,1,0.1,0,0,4
57,32,Chargers,Keenan Allen,14,9,17.51,245.1,100,992,8,7.1,70.9,147,-1,-0.1,0,2,8
58,32,Chargers,Jalen Guyton,15,75,6.47,97.1,28,511,3,1.9,34.1,51,0,0,0,0,3
59,32,Chargers,Tyron Johnson,11,96,6.73,74,18,363,3,1.6,33,24,17,1.5,0,0,3
60,14,Rams,Robert Woods,15,12,15.83,237.5,86,900,6,5.7,60,122,155,10.3,2,1,8
61,14,Rams,Cooper Kupp,15,19,13.91,208.7,92,974,3,6.1,64.9,124,33,2.2,0,1,3
62,28,Titans,Josh Reynolds,15,61,7.83,117.4,48,589,2,3.2,39.3,75,5,0.3,0,1,2
63,19,Patriots,Nelson Agholor,15,33,11.93,178.9,47,839,8,3.1,55.9,78,0,0,0,0,8
64,31,Raiders,Hunter Renfrow,15,56,8.41,126.2,53,632,2,3.5,42.1,70,0,0,0,1,2
65,31,Raiders,Henry Ruggs,12,93,6.61,79.3,23,414,2,1.9,34.5,40,49,4.1,0,1,2
66,18,Dolphins,Devnate Parker,13,44,11.36,147.7,56,677,4,4.3,52.1,89,0,0,0,0,4
67,18,Dolphins,Lynn Bowden,9,82,4.51,40.6,20,167,0,2.2,18.6,25,39,4.3,0,0,0
68,18,Dolphins,Jakeem Grant,14,84,6.24,87.3,36,373,1,2.6,26.6,54,20,1.4,0,0,1
69,18,Dolphins,Preston Williams,8,95,9.35,74.8,18,288,4,2.3,36,35,0,0,0,0,4
70,8,Vikings,Justin Jefferson,15,8,16.79,251.9,79,1267,7,5.3,84.5,113,2,0.1,0,0,7
71,8,Vikings,Adam Thielen,14,10,17.45,244.3,70,868,14,5,62,103,15,1.1,0,0,14
